Campaign_ID,Date,Ad_Type,Clicks,Impressions,Conversions,CTR (Click-Through Rate),Conversion_Rate,Revenue_Created,Cost,Owner,Likes,Dislikes,Fraud,Title
20,2023-10-20,Search,976,3152,36,8.32%,9.38%,503,476,0x7176FDA70C0476AF0EF2B65323270BE2D35F017D,423,97,0,Social Service
21,2023-10-21,Display,468,2791,33,8.89%,7.46%,775,77,0xEEBBDC6E8C63ABAAAB737F7A506E2E04B7A40B49,783,616,1,Education
22,2023-10-22,Social,811,7690,27,3.83%,5.37%,355,93,0x7876C9B8BA4D12BEE08530FECB148F7F53645526,941,457,0,Education
23,2023-10-23,Social,744,7739,33,4.46%,4.00%,477,407,0x5AC9B7DEB63B8BF15EC6BD9EDCFB6F94AE3BFE2B,440,751,1,Shelter
24,2023-10-24,Display,394,5219,36,7.28%,9.94%,872,143,0x89918603CE07520FE11694FE7843BFA539FB0201,871,345,0,Education
25,2023-10-25,Display,656,5680,44,8.77%,9.76%,986,174,0x5F1C9F492062650A2FE43BFEC69715B757C567AF,823,35,1,Health
26,2023-10-26,Search,957,8845,48,7.55%,7.08%,726,386,0x801E74E41D072CE0C8B0AC23620B78759BA7042B,422,596,0,Education
27,2023-10-27,Search,280,6368,15,2.93%,2.49%,975,477,0x8C44985A710A2F65DB58C8A0002F339A5DEA364D,544,38,0,Shelter
28,2023-10-28,Social,597,2739,21,7.07%,3.05%,596,279,0x1E77253D4232B93669560EAF4BDB15111F3B8702,291,159,0,Social Service
29,2023-10-29,Social,814,7517,47,8.43%,5.24%,967,350,0x90FEF2215060F3E06958949D82C8FA390DCDE03C,796,840,0,Health
30,2023-10-30,Search,975,4316,26,6.37%,1.04%,468,136,0xF22C48A3447BFF5357E924937F7FB54E6FEB9CC9,286,449,1,Environment
31,2023-10-1,Display,741,6694,6,7.47%,7.68%,610,414,0x5E7EFBBD24EED13DF03972F9084DCD154F4ABE93,605,902,0,Education
32,2023-10-2,Search,605,4006,35,9.41%,7.40%,626,359,0x3CE78E1447B9AA2DA95CF9E110CAC61782688F35,912,599,0,Food
33,2023-10-3,Social,584,4199,49,1.37%,9.60%,423,66,0x332D1B169F86F1D2749D1AF3F14B37EC50C004BE,705,183,1,Health
34,2023-10-4,Search,867,4836,7,5.61%,7.18%,794,375,0x1CE7EBF13EE224B2D8502DCD1E0468F3336D55F3,178,161,0,Environment
35,2023-10-5,Search,989,3687,48,2.59%,3.86%,482,370,0x78F7A13B42FAC10E71050B2A33C803F1174BD717,3,668,1,Education
36,2023-10-6,Social,508,2583,5,3.85%,9.00%,588,221,0xE8104A586DC310B64C6F9A3E603358453CF89D2A,729,661,1,Health
37,2023-10-7,Search,597,7456,46,5.96%,3.78%,843,178,0xD9D010E0BB666ADB725DFE7047FC10385DC15247,969,35,0,Education
38,2023-10-8,Social,485,2966,37,7.01%,1.62%,908,370,0xC4C3CD4A2D72D770C4BDD0954ABF3C54481DCBC8,754,355,1,Shelter
39,2023-10-9,Search,760,2914,45,5.42%,1.78%,532,78,0x2716AB732426BB8DC6A73CED95E30D1159A64766,621,638,1,Environment
40,2023-10-10,Social,919,6776,37,4.47%,5.36%,220,180,0xC33F4C793D560602FBE426E5FC82F63B1B9FE274,190,728,1,Shelter
41,2023-10-11,Display,116,4786,5,5.47%,2.22%,764,360,0xF99B3E4B6002649E1D168181C7F144A8CE38B65C,224,851,0,Education
42,2023-10-12,Search,892,7279,36,5.74%,8.34%,487,413,0x929360D0ED7BE58B3E0763ADCDF7F39AF41F0F68,935,649,0,Education
43,2023-10-13,Social,515,6025,7,8.93%,9.81%,483,169,0x7AF303FC68993DA7A8753160EF3AA5BFE42FEB08,795,920,0,Education
44,2023-10-14,Social,877,7036,47,4.79%,5.05%,858,360,0x7ECBE0988C9233CA18233FA825D0E01FF1CC639E,29,368,1,Sports
45,2023-10-15,Display,230,8843,24,7.84%,5.94%,637,285,0xAB1C0D989E9B078F298540F5DDCB904F4389B1E0,129,302,1,Shelter
46,2023-10-16,Search,338,3251,20,6.00%,1.73%,213,343,0x425A41832A3157EB92706CAB758A22FF925B1307,615,132,1,Health
47,2023-10-17,Display,438,5421,49,3.72%,4.60%,518,95,0x08C2562D0989B1752478277B08F52A52AB6C5242,914,628,1,Food
48,2023-10-18,Social,467,8056,37,7.72%,3.81%,107,362,0xFF6B78CAC1C03EB01DC32FAE0CDE45822027AACE,27,633,0,Social Service
49,2023-10-19,Social,817,4835,32,8.11%,8.93%,933,267,0x2AA8F0CEC645C8B61B57998FEE4320CD8C3B1543,815,607,1,Sports
50,2023-10-20,Display,531,4657,49,7.15%,5.29%,954,204,0x1CE20056C6FBE060C5DA5C40B66AC300C35FFD2B,560,822,0,Health
51,2023-10-21,Display,461,3428,29,5.19%,9.27%,241,363,0x6A88AC9262FE75748861A4D70D00326FBB24CFC8,108,157,0,Food
52,2023-10-22,Social,783,2382,46,5.68%,3.90%,980,109,0xD693FC615102A60DA1B0CF7B82718EC1EAB14FD8,636,17,0,Environment
53,2023-10-23,Social,328,3724,42,6.40%,8.88%,963,130,0xA165F49A94FBB517FA27D15473260BE8C953B401,264,560,1,Food
54,2023-10-24,Search,927,2632,8,7.74%,7.03%,196,276,0x2D18825E483B04C7C866E0FE1E488DDC86E94178,973,267,0,Social Service
55,2023-10-25,Display,486,8738,40,9.62%,6.28%,919,430,0x61A7796D2E51CA5996EBEF3AAE0AB52BE791CA23,761,279,0,Social Service
56,2023-10-26,Search,717,5939,7,7.53%,4.80%,990,410,0xE1447ECF8705AB5372A73CB773CA85A6252151A2,768,145,0,Health
57,2023-10-27,Social,449,8456,39,3.32%,1.83%,553,390,0xC0CE18D7A0A16F5F8D9C36E4A90D38C32AB3FE6E,652,208,1,Environment
58,2023-10-28,Display,490,6763,10,7.36%,4.18%,321,288,0x4FAA9568858E5BAF764A9839B6E05F996F36FD9F,80,330,1,Education
59,2023-10-29,Display,216,4379,40,8.51%,2.44%,181,423,0x85390E8E2E308FCD60EDDAC268CFE7ADD69357DE,896,409,0,Social Service
60,2023-10-30,Display,172,5465,26,3.29%,8.73%,988,57,0xA1622F1C36DCE582DCE3EB59FC2D404FD9570EA5,41,4,1,Health
61,2023-10-1,Social,879,3720,50,8.57%,3.69%,443,61,0xCD57EB7082D032DCE835DDE448590BBB2D916A1E,159,451,1,Social Service
62,2023-10-2,Display,408,2828,19,1.16%,7.13%,933,426,0x0548B589437EA2149372F5686A65C663D99C4FAD,99,832,0,Sports
63,2023-10-3,Search,678,8826,28,3.01%,9.11%,417,157,0x39C9C4E33ADC55A9D14FA3ED317BD546C8A10BAB,687,916,0,Social Service
64,2023-10-4,Search,491,3272,24,7.22%,9.56%,575,381,0xAF9BD01C1D100AE90CAD66D55DB275BD4E05C3B1,790,726,0,Education
65,2023-10-5,Social,606,5846,41,9.81%,1.83%,271,208,0x6D7702A96D33CA3694ADA459AE50DB38D8862BF7,788,120,1,Food
66,2023-10-6,Search,419,2813,48,1.38%,2.13%,284,357,0x0A63827CF74CFC77D33A99C58E2E1DAD971AD473,631,578,1,Environment
67,2023-10-7,Display,393,9414,38,9.50%,5.95%,927,283,0xD552AEAB4E6F7E2930B8F0117E0561753C9551AE,761,376,0,Shelter
68,2023-10-8,Display,342,2280,37,1.31%,7.28%,975,433,0x863FE113857A748B42C7E8818C3A4E20BEEEC1B1,324,162,0,Environment
69,2023-10-9,Display,696,3130,37,9.72%,5.71%,741,201,0xCDF5C3E7CA5A79B569ADEAA76C846299CC4E6A73,672,25,1,Sports
70,2023-10-10,Display,597,4510,8,8.28%,2.07%,131,347,0xD75C136E32405139AF55EAD5E29F088B9E130946,873,144,1,Shelter
71,2023-10-11,Display,979,7285,48,3.15%,2.54%,632,222,0xC8D00E7C65D422F2A267706F1FA384A1C4B91B52,939,323,1,Environment
72,2023-10-12,Search,828,3420,28,9.46%,8.45%,678,328,0x27A70B5595FBEDE7DF6C29F8D2A063B41BE80FE4,586,532,1,Environment
73,2023-10-13,Display,100,4199,48,4.55%,4.00%,446,358,0x4B0FD1160F746E29E64D3E26A92D7C34BEB79692,649,855,1,Food
74,2023-10-14,Social,531,3977,38,5.35%,3.32%,373,314,0x962DBC1CB49193CC73E38A30480EFA1F050C2E14,398,136,0,Shelter
75,2023-10-15,Search,650,8742,31,3.50%,7.63%,287,372,0x2A61FA81112AB7364D8702FC6E9A838A02BCE38D,117,298,1,Health
76,2023-10-16,Search,509,7387,32,4.37%,6.67%,951,430,0xD7886765BB676C36808B4B4DEF2A343874818959,714,650,0,Environment
77,2023-10-17,Search,104,6836,43,1.60%,8.52%,894,235,0x95BBBBA09C592644BD5E83DA44A572A2DEC5606B,279,937,1,Shelter
78,2023-10-18,Display,235,7531,21,4.59%,9.88%,318,166,0x5806786AC57E77D444225801C9BEAF31D792F394,699,900,0,Sports
79,2023-10-19,Display,377,4065,49,7.93%,9.65%,475,360,0x153A1177065FA83C4B67B8B4577BB11A943F4AF9,738,903,1,Social Service
80,2023-10-20,Display,644,7242,38,1.04%,5.46%,744,215,0x60BC90DAAD978B1F3A2D40D60DEED765D51F392F,977,498,1,Education
81,2023-10-21,Social,961,2114,22,4.06%,6.52%,360,210,0x6DEF032188FE4C55EE7D7D0F8F15BD30AAE2AC72,806,341,0,Education
82,2023-10-22,Search,868,2360,42,7.06%,6.41%,597,225,0x81E10EAA49D2D3D3AB4B0EB06A5F2FEA8C6D053B,557,7,0,Food
83,2023-10-23,Search,846,3166,22,5.58%,9.68%,745,305,0x4994B42C34354BB9B36ED24C054AC735343C5876,92,529,0,Shelter
84,2023-10-24,Display,629,6250,47,9.41%,2.04%,915,123,0xFB107DB7A5ED4F76B64A23186B686DFC0DF417DE,836,977,0,Education
85,2023-10-25,Social,203,7114,42,7.66%,9.62%,816,103,0x503DF4C527CB2F03F7DEFCD6D0ACC206FF174182,141,283,1,Education
86,2023-10-26,Display,862,4390,42,5.97%,5.65%,841,448,0x82853A3BF7B427D888EFB449FD141D0403E2404B,870,989,0,Health
87,2023-10-27,Social,190,2580,30,6.44%,1.92%,368,202,0xFEE2EB43BB54BFEAA8C885966DF49ACAC90FAFF7,794,160,0,Shelter
88,2023-10-28,Display,660,9907,28,7.58%,2.60%,759,272,0x6DF114CA68685A01F2C65168EF25B402BA50A942,817,308,1,Education
89,2023-10-29,Display,584,8794,7,5.49%,8.08%,713,183,0x35704201B60CD6AB4F04D8B241B43D4EDC39B59E,825,915,0,Education
90,2023-10-30,Social,814,3425,6,4.96%,2.05%,366,416,0xD25182B0AE3CFC0E76AF5237C2250A54BA7D59C8,478,557,1,Education
91,2023-10-1,Social,239,4775,43,3.01%,4.33%,389,491,0x1FFE9D7172AA82EC0C69DC63F224CD4BB8DBBF33,621,71,1,Health
92,2023-10-2,Display,908,3399,43,9.27%,5.90%,233,202,0xD4EC549027D4A9EAC3A2C8DF315E50F705E7AD1E,117,726,1,Food
93,2023-10-3,Search,670,2220,36,4.75%,8.44%,552,406,0xC4A7FA1966BD27ACDC77BC2769C6F73CDF600A9E,728,351,0,Social Service
94,2023-10-4,Social,859,9380,28,6.76%,8.79%,815,131,0x820F02BC3D89EE804A4075420DD823E1682C29A1,984,130,1,Social Service
95,2023-10-5,Search,418,9936,39,9.48%,8.02%,356,269,0xAF16B0DFC07890F347243F30ACF114FE6FCB39FB,924,49,0,Environment
96,2023-10-6,Display,896,5580,48,5.30%,7.66%,329,381,0x35FF74DA7359BC180873397D4531259771FA0629,523,17,1,Sports
97,2023-10-7,Social,392,3054,16,6.03%,9.14%,819,167,0x6E4B83D231542AC9FB01761BFF89F5F52F54DEDD,868,94,0,Shelter
98,2023-10-8,Social,294,8715,26,5.95%,1.51%,275,57,0xCAB909AF96DEEB4D3D7040ABFD36C5A3E0F79162,65,88,0,Food
99,2023-10-9,Display,443,9281,36,2.92%,8.79%,432,300,0x662DC204374F27E0F23160280C67D13ADDE974D4,138,329,0,Environment
100,2023-10-10,Search,831,4417,21,7.64%,2.02%,976,432,0xB9CBAC5B2C174DF246A02D419EFEC6C2E045205B,661,806,0,Sports
101,2023-10-11,Search,935,3036,31,3.29%,6.71%,334,172,0xA4BB5226CBAEE8787CEDE0095BE7D470BD204CB5,428,888,1,Health
102,2023-10-12,Social,239,3256,28,4.03%,6.65%,541,409,0x941FFAEDA1E11B866C77B4F4A5C7ED7AF86D2718,590,311,1,Sports
103,2023-10-13,Display,138,7902,24,6.74%,7.76%,241,198,0x5E056B927EE214D4B9BF4137797FD04D68EEC7A4,829,140,1,Education
104,2023-10-14,Display,291,9749,5,1.32%,5.54%,672,366,0xB383D0A06F99F5C877D9FE93E78925E4C9067512,462,35,0,Shelter
105,2023-10-15,Social,220,7574,13,4.05%,5.67%,580,69,0xC23B4C565C0FFA029D5BB932A3AF85DC839DDAB8,679,609,1,Social Service
106,2023-10-16,Search,278,3326,47,9.82%,8.09%,730,348,0xB7EA74FCE522D3475C10FA1AE32D634CE354A032,456,873,1,Social Service
107,2023-10-17,Social,476,9395,41,7.19%,9.71%,134,206,0xA54C8A6A9164C50C01DA731F78EEBE3322DB46C3,930,90,1,Education
108,2023-10-18,Search,281,4530,24,9.64%,3.51%,632,132,0xEF86CF96C065A197819570DA07D98AB084D8C524,206,6,1,Sports
109,2023-10-19,Search,629,5704,21,2.87%,1.52%,131,213,0x036E35C5BD23437176FCFF2B875BFAB45593B703,926,812,0,Food
110,2023-10-20,Search,183,6245,26,8.99%,6.64%,985,55,0x054CDF6E1E6E529AFD4BCF4DEA487B4765E88344,457,509,0,Sports
111,2023-10-21,Social,181,9486,32,8.14%,7.47%,632,69,0x6273B0CF089258840B6D5CCCC6AEEF8D349C63B7,927,474,0,Environment
112,2023-10-22,Display,205,5482,23,4.23%,9.13%,772,389,0x10263B1A1E790AD82ADBB322C962DFDFB6B63AC0,398,617,0,Food
113,2023-10-23,Social,162,5673,12,3.51%,2.76%,783,393,0x2519B00C93B4BA1C2C81485B114F6E192241F99C,608,850,0,Shelter
114,2023-10-24,Social,458,9450,10,3.53%,7.97%,306,79,0xE0127C7ACC206DAA38E8746444F306A29197373D,919,265,1,Education
115,2023-10-25,Social,514,6520,10,3.95%,2.72%,851,103,0xD3B3A1CEBA577A8A17C20D15332B0586F4C5F00E,898,356,1,Education
116,2023-10-26,Search,577,9970,7,4.44%,8.89%,520,485,0xE1E2708C6B002BBC62C743020330FB7E5F653F53,911,898,0,Sports
117,2023-10-27,Social,365,9780,37,9.42%,1.24%,795,88,0x7D580E62A0DC9017821F0F7C353AC57333E5E0E4,802,407,1,Shelter
118,2023-10-28,Social,813,9875,48,4.90%,1.25%,782,144,0xC25AC28C27509A3D0E94B09AF6B3B7EF3D20B9E3,832,791,1,Health
119,2023-10-29,Search,701,2121,42,7.73%,1.34%,551,380,0x9D33E8434B7D2C2AB6B5B83399A8062FBCB30C4B,921,721,0,Education
120,2023-10-30,Display,446,6258,18,7.80%,2.52%,690,318,0x47DE533CF65B233B3AFEB2A632AA339D8BA7BE6E,310,364,1,Social Service
121,2023-10-1,Search,837,2975,10,3.98%,4.50%,400,135,0x3E3A49B05832B7952148A0C081B0A8A6AC6E36A9,23,447,0,Food
122,2023-10-2,Display,710,4742,18,3.44%,4.93%,762,186,0x44012C537BE8D79A9FACA8887B9D5EE60020F935,787,359,0,Sports
123,2023-10-3,Search,361,5875,44,4.91%,3.53%,647,306,0x4BF252502162070DC03854E21C86779822F5AFAE,211,924,1,Food
124,2023-10-4,Social,877,3087,14,7.73%,9.85%,196,73,0xB225B5E76B76494CDCBE4AFE220DC99E91939B4B,928,354,0,Sports
125,2023-10-5,Social,784,7853,41,3.74%,6.86%,765,372,0xDF57D319D57CD655033894374BF1617ED5B54DE7,718,495,0,Sports
126,2023-10-6,Display,514,5380,35,9.50%,1.29%,443,486,0x499797A2F670DA7E6C8C70A4E59E10545BBDAE42,837,972,1,Health
127,2023-10-7,Search,585,5194,27,2.69%,8.75%,641,392,0xE57A55996FB85C9A6BC5692ECF534BEB4C5D9650,355,599,1,Shelter
128,2023-10-8,Search,929,3410,20,3.01%,8.87%,790,371,0xDA1ABDCE232E9CEB66529D572E6C6AECDF8C51BA,222,22,1,Shelter
129,2023-10-9,Social,113,5490,31,6.53%,7.95%,239,203,0x0A1BC822978C5CAA6B93826EE2BABE7947303AC5,569,684,0,Social Service
130,2023-10-10,Social,891,8382,7,5.62%,1.07%,480,151,0x6D30E0F1076BA60DCE8318AC9367C0EAC7D01893,162,508,0,Education
131,2023-10-11,Search,909,3810,49,3.09%,5.51%,550,115,0x69DBF084584BB04D29B835B273683B82F5DA616A,280,562,0,Health
132,2023-10-12,Search,725,8264,15,5.78%,6.84%,397,417,0x90D066CD2734B47CCEBA2E30017C6445B8BAB79A,709,243,1,Education
133,2023-10-13,Search,506,9376,11,4.93%,5.23%,537,321,0x40E6C4B3271416EC51D10213DB547CD4BFB1E527,279,588,1,Shelter
134,2023-10-14,Display,134,6052,35,2.61%,6.70%,523,330,0xAB77A2C3AF5CA90D610DC891085FBDB32E0BAB44,747,237,0,Shelter
135,2023-10-15,Search,857,6981,40,4.99%,4.16%,853,458,0xA17423AD75C94211FEA6E031BDC300131472BC6E,193,144,1,Health
136,2023-10-16,Social,440,2659,7,8.99%,6.87%,545,366,0xE50929568AE41CD337F595318B94926651D2B701,536,255,0,Sports
137,2023-10-17,Social,730,6980,8,2.36%,9.53%,976,240,0x05827ED39F8F20D170FCAB249DE24DA48C176B6C,558,44,0,Food
138,2023-10-18,Search,449,3525,38,9.72%,5.53%,272,70,0x30AFC02E2FFF4D9B4B09EFC73788BA105F3DDFEA,574,349,0,Education
139,2023-10-19,Search,915,4023,9,8.15%,9.24%,843,62,0xCD0094BAE105788658C6FEF779B12A9984C24CD3,341,360,1,Social Service
140,2023-10-20,Display,794,6954,48,6.16%,5.50%,242,290,0x325FECE8806C3ACB6DCD3531A700ADB7EDEDA26B,594,872,1,Education
141,2023-10-21,Social,449,9757,29,4.42%,7.81%,225,429,0xEE4B451417BD65E084B4B408315BA23CE9317F0A,855,33,1,Health
142,2023-10-22,Display,548,5576,29,6.46%,3.63%,516,312,0x4894AA243D4FB8C9D4A00EF33098E06F65D3E671,190,373,0,Shelter
143,2023-10-23,Display,517,6101,35,1.74%,6.05%,105,235,0x26EB44161CFD0EDFE43D9B68F072BD6F34F20CD0,118,845,0,Sports
144,2023-10-24,Display,540,5238,25,1.07%,3.50%,473,413,0xAE34DECC0D0DE6AFD163191EC8DBADBFCB322A8F,753,11,0,Health
145,2023-10-25,Search,123,7759,10,2.07%,2.08%,892,231,0x519D36F67C7BF622255B386733A3B15C3CF3C9A8,702,956,1,Social Service
146,2023-10-26,Social,577,3461,10,2.36%,4.93%,654,229,0x4F55B38F8BE362D815528DB89FF1258BF03E822C,689,430,1,Social Service
147,2023-10-27,Display,828,6980,39,4.53%,7.73%,174,52,0x5F2968F81F12C9D7692AA076A14748F556843D15,560,357,0,Environment
148,2023-10-28,Display,450,5190,47,1.85%,8.75%,975,175,0x768AF6EA6DA348746B75F3FB5B9ED052797FE7FA,810,57,1,Environment
149,2023-10-29,Search,492,5648,30,1.62%,4.66%,936,296,0xB156B21853AECF625B36121542A75C7BA35CC189,112,918,1,Food
150,2023-10-30,Search,863,3456,36,1.60%,1.07%,495,373,0x365E8E06AE43761CF8BD4F5B81CABEE6DBB1A431,514,702,1,Food
151,2023-10-1,Display,346,6728,19,6.69%,5.91%,170,162,0xDEDF03DDBAA29996B1FCB47C2A0838FE0F81BD00,474,694,1,Sports
152,2023-10-2,Display,751,6461,49,1.18%,3.45%,823,337,0xBED01FF14078919A7E7FA03E1C06966A500B717A,380,515,0,Food
153,2023-10-3,Social,542,6782,25,2.83%,4.75%,364,490,0x1EA39FE65D9CDAA5D4BB63C8308E0F1EDC73A1F3,694,727,0,Food
154,2023-10-4,Social,107,7641,41,7.46%,2.25%,168,385,0x0A9814E162D023049B802636EC13CB41780C2D1B,883,567,0,Shelter
155,2023-10-5,Search,237,6821,19,9.18%,2.58%,742,393,0x21DD36F20660BEE2D429FCAA93D33A5F580B48C1,456,151,0,Environment
156,2023-10-6,Search,898,2184,36,4.97%,8.75%,389,165,0xE6727D0EBBE82516964326511D21008A9E5A24B3,691,479,1,Food
157,2023-10-7,Display,366,7189,25,4.07%,6.11%,244,499,0x915903C9C1BB30EBFE653A85EA2D538BA2E6E8CB,770,769,0,Education
158,2023-10-8,Search,904,7804,28,7.84%,4.26%,626,423,0xD0DC0601F5ADBA10B9F2E00D98C5D66F0C2CA02C,131,568,0,Sports
159,2023-10-9,Search,260,9790,17,2.35%,6.29%,640,484,0x17989437E00004033CB5D6710E3AE95AC1C91843,943,350,1,Social Service
160,2023-10-10,Social,920,5982,27,4.30%,5.45%,700,478,0x56175C1B4D7143F1B8104C45D1817783451F1A11,660,373,1,Education
161,2023-10-11,Social,321,5458,39,6.46%,2.66%,534,227,0xD487BC9822B27B669BEDD5C3D4A5DC793BD87643,171,547,0,Social Service
162,2023-10-12,Display,798,7567,38,5.07%,7.06%,904,146,0x7E3B276A06E58629626F8FFA89F1B35BEBA90A4F,463,901,0,Social Service
163,2023-10-13,Search,830,6973,41,7.91%,2.32%,345,146,0x0E78ACDAE4B4776049AB526A81C3F539E6467308,283,593,1,Shelter
164,2023-10-14,Social,168,9026,10,3.74%,1.14%,906,131,0x10A792FB9A595E6402120AA0DAAA0131E9050AFD,733,791,0,Education
165,2023-10-15,Social,519,3703,8,1.43%,3.92%,510,278,0x3D7878A21C0347E837B0E1A585E7E94FEB33F396,815,100,0,Food
166,2023-10-16,Display,571,2056,13,8.77%,3.35%,887,353,0x78129DB7466233561A5EA5DB24B213E31A0EB5C4,992,862,0,Education
167,2023-10-17,Social,911,6021,30,6.51%,5.04%,996,458,0x8F8E1C4D6C51BA0DD04B0B3A7814FEC70BD660FD,258,783,0,Sports
168,2023-10-18,Display,631,3725,47,2.71%,8.61%,856,199,0x3745CDBEECBF2D197F8B1503D38EAEAA63F322E8,387,299,0,Food
169,2023-10-19,Search,455,7280,14,3.42%,2.53%,516,311,0xE7FAAC648605F56E7F4000B80F015654605B9918,2,763,1,Education
170,2023-10-20,Social,305,3411,9,3.08%,1.25%,759,336,0xAAF0D21C6E578751E859F021307F7B8C1290B824,887,394,1,Health
171,2023-10-21,Display,243,3244,43,1.55%,9.12%,405,302,0xE1CEE8E57D16FEA6B25B3095FBFBC7770597F6D6,423,927,0,Environment
172,2023-10-22,Search,110,2002,27,9.79%,3.36%,585,211,0x6C24D23049AD4FF3DEA2FA55FC701B5732207097,990,651,0,Social Service
173,2023-10-23,Social,609,6402,29,5.02%,4.20%,809,62,0x495BEE73295E305906A298B2617C565ADC1458E8,983,26,1,Food
174,2023-10-24,Display,120,9131,36,2.07%,6.94%,371,450,0x42E431905B52996C310B5AE458BBFD92BB8A2108,330,867,0,Health
175,2023-10-25,Social,510,3414,18,4.31%,7.32%,453,267,0x6C4A3A4E23F72AB40F4C26E4BCEF835D5FC67433,484,396,0,Shelter
176,2023-10-26,Social,940,2604,47,1.93%,4.08%,219,488,0x51FE6AA702D8A8AD83A265D6AAF755BC548BABD1,871,297,1,Health
177,2023-10-27,Search,626,4632,9,5.23%,3.64%,266,327,0x49AA7FAA38BA823DBB12445FCDA80B4949166900,280,84,1,Sports
178,2023-10-28,Search,824,9288,13,6.34%,3.07%,464,268,0xA85B91F4390111B7837CE8E75760AA20176E49C6,173,667,1,Health
179,2023-10-29,Search,514,3442,29,3.89%,9.87%,296,81,0xABBE25ADEE9036CC22440036D79B6D7141E6E556,260,892,0,Sports
180,2023-10-30,Social,523,9005,46,9.19%,3.63%,267,181,0x5DD7E0BF5D72FF2FAFB7A9E5E1DDC10B1F87AFAC,420,145,1,Health
181,2023-10-1,Social,586,5007,14,7.17%,5.62%,481,417,0x962097CBF655EA199F92930485775C7FC2DD6BE0,758,905,0,Sports
182,2023-10-2,Social,635,3667,9,2.63%,5.61%,282,250,0xF5B526E217A33BA5E94967E90CAC9B7FB6253937,37,901,1,Social Service
183,2023-10-3,Social,812,6039,20,6.82%,1.20%,210,371,0xDE0C914E5F37F82A1A9A473FE086A73CADD478DC,19,371,1,Social Service
184,2023-10-4,Display,130,6367,25,9.51%,6.92%,107,167,0x010848EF25689AA8E3C042C560C123AB1306DCD1,295,500,1,Education
185,2023-10-5,Display,136,2280,36,4.57%,4.07%,737,99,0xFEB4C465B9E1D1F2BF9EB3079E7FF54F980F01F8,615,35,0,Sports
186,2023-10-6,Search,697,3909,8,1.28%,5.80%,450,121,0x5CD03EFF8E3E199ECD795066B4F89C1B67624BB6,708,950,1,Social Service
187,2023-10-7,Display,332,9480,36,8.66%,1.30%,568,357,0x3157A6B86D867A6D9D3124A2917877BE941C6C58,448,551,1,Shelter
